suburb,offence_count,population,offence_rate_1000
Abbotsford,520,9088,57.0
Aberfeldie,270,3925,69.0
Aintree,285,7982,36.0
Airport West,470,8173,58.0
Albanvale,397,5641,70.0
Albert Park,405,6044,67.0
Albion,424,4334,98.0
Alphington,523,5702,92.0
Altona,531,11490,46.0
Altona Meadows,506,18479,27.0
Altona North,520,12962,40.0
Ardeer,387,3170,122.0
Armadale,414,9368,44.0
Arthurs Creek,76,478,159.0
Arthurs Seat,132,414,319.0
Ascot Vale,533,15197,35.0
Ashburton,422,7952,53.0
Ashwood,435,7154,61.0
Aspendale,385,7285,53.0
Aspendale Gardens,303,6427,47.0
Attwood,247,3309,75.0
Avondale Heights,420,12388,34.0
Avonsleigh,81,844,96.0
Badger Creek,177,1610,110.0
Balaclava,460,5392,85.0
Balnarring,206,2371,87.0
Balnarring Beach,90,471,191.0
Balwyn,391,13495,29.0
Balwyn North,455,21302,21.0
Bangholme,230,749,307.0
Baxter,336,2166,155.0
Bayles,120,445,270.0
Bayswater,527,12262,43.0
Bayswater North,486,9014,54.0
Beaconsfield,532,7267,73.0
Beaconsfield Upper,200,2997,67.0
Beaumaris,401,13947,29.0
Beenak,20,17,1176.0
Belgrave,409,3894,105.0
Belgrave Heights,119,1398,85.0
Belgrave South,181,1670,108.0
Bellfield,316,0,
Bend Of Islands,17,267,64.0
Bentleigh,493,17921,28.0
Bentleigh East,504,30159,17.0
Berwick,596,50298,12.0
Beveridge,101,4642,22.0
Big Pats Creek,8,60,133.0
Bittern,296,4276,69.0
Black Rock,313,6389,49.0
Blackburn,461,14478,32.0
Blackburn North,346,7627,45.0
Blackburn South,389,10939,36.0
Blairgowrie,227,2786,81.0
Blind Bight,138,1290,107.0
Bonbeach,388,6855,57.0
Boneo,112,314,357.0
Bonnie Brook,217,333,652.0
Boronia,591,23607,25.0
Botanic Ridge,275,6739,41.0
Box Hill,554,14353,39.0
Box Hill North,391,12337,32.0
Box Hill South,356,8491,42.0
Braeside,287,25,11480.0
Braybrook,523,9682,54.0
Briar Hill,239,3220,74.0
Brighton,523,23252,22.0
Brighton East,490,16757,29.0
Broadmeadows,647,12524,52.0
Brookfield,422,10782,39.0
Brooklyn,515,1979,260.0
Bulla,253,668,379.0
Bulleen,440,11219,39.0
Bundoora,1420,28068,51.0
Bunyip,267,3131,85.0
Bunyip North,43,95,453.0
Burnley,285,794,359.0
Burnside,341,5800,59.0
Burnside Heights,297,6377,47.0
Burwood,698,15147,46.0
Burwood East,435,10675,41.0
Cairnlea,416,10038,41.0
Calder Park,114,0,
Caldermeade,126,181,696.0
Cambarville,22,0,
Camberwell,506,21965,23.0
Campbellfield,542,4977,109.0
Cannons Creek,124,650,191.0
Canterbury,291,7800,37.0
Cape Schanck,81,569,142.0
Capel Sound,447,5246,85.0
Cardinia,163,342,477.0
Carlton,667,16055,42.0
Carlton North,491,6177,79.0
Carnegie,478,17909,27.0
Caroline Springs,542,24488,22.0
Carrum,459,4239,108.0
Carrum Downs,581,21976,26.0
Catani,86,297,290.0
Caulfield,400,5748,70.0
Caulfield East,375,1293,290.0
Caulfield North,448,16903,27.0
Caulfield South,410,12328,33.0
Chadstone,486,9552,51.0
Chelsea,487,8347,58.0
Chelsea Heights,383,5393,71.0
Cheltenham,880,23992,37.0
Chirnside Park,480,11779,41.0
Christmas Hills,84,365,230.0
Chum Creek,102,981,104.0
Clarinda,383,7441,51.0
Clarkefield,30,303,99.0
Clayton,563,18988,30.0
Clayton South,496,13381,37.0
Clematis,76,352,216.0
Clifton Hill,530,6606,80.0
Clyde,378,11177,34.0
Clyde North,480,31681,15.0
Cobblebank,288,3601,80.0
Cockatoo,341,4408,77.0
Cocoroc,50,0,
Coldstream,290,2199,132.0
Collingwood,551,9179,60.0
Coolaroo,473,3193,148.0
Cora Lynn,45,220,205.0
Cottles Bridge,86,609,141.0
Craigieburn,635,65178,10.0
Cranbourne,626,21281,29.0
Cranbourne East,485,24679,20.0
Cranbourne North,530,24683,21.0
Cranbourne South,276,3241,85.0
Cranbourne West,480,19969,24.0
Cremorne,370,2158,171.0
Crib Point,338,3343,101.0
Croydon,591,28608,21.0
Croydon Hills,208,4839,43.0
Croydon North,352,8092,43.0
Croydon South,338,4759,71.0
Dallas,460,6762,68.0
Dalmore,79,142,556.0
Dandenong,709,30127,24.0
Dandenong North,539,22550,24.0
Dandenong South,468,125,3744.0
Deanside,203,654,310.0
Deepdene,194,2101,92.0
Deer Park,548,18145,30.0
