suburb,lat,lon,distance_to_cbd_km,bus_stops,train_stops,tram_stops,total_stops,weighted_transport_score,median_rent_1bed_flat,median_rent_2bed_flat,median_rent_3bed_flat,median_rent_2bed_house,median_rent_3bed_house,median_rent_4bed_house,total_offences
Abbeyard,-37.01941875010008,146.7691121313647,182.73,0,0,0,0,0,,,,,,,
Abbotsford (Vic.),-37.80458484450762,144.99976768739876,3.37,14,28,5,47,169,520.0,695.0,1000.0,720.0,950.0,1200.0,520.0
Aberfeldie,-37.75957575055507,144.89740380057304,8.32,20,0,0,20,20,,,,,,,270.0
Aberfeldy,-37.69978842536817,146.37843544613273,124.94,0,0,0,0,0,,,,,,,
Acheron,-37.26893240822191,145.69931893264342,88.79,2,0,0,2,2,,,,,,,
Ada,-37.84221455687422,145.85187283832184,77.97,0,0,0,0,0,,,,,,,
Adams Estate,-38.42517800225444,145.53186117307516,83.99,0,0,0,0,0,,,,,,,
Addington,-37.39448695232393,143.66776208378366,123.34,0,0,0,0,0,,,,,,,
Adelaide Lead,-37.08152832512267,143.66840094766147,140.53,0,0,0,0,0,,,,,,,
Agnes,-38.681848788545096,146.38804644971776,156.63,0,0,0,0,0,,,,,,,
Aintree,-37.71719543014108,144.66366649190536,28.39,20,0,0,20,20,,,,,,,285.0
Aire Valley,-38.69248535632385,143.56608840139296,155.45,0,0,0,0,0,,,,,,,
Aireys Inlet,-38.43507622793529,144.0971372586086,102.12,0,0,0,0,0,,,,,,,
Airly,-38.03075020479649,147.09745231691102,188.16,0,0,0,0,0,,,,,,,
Airport West,-37.723734218150746,144.8814196273739,12.29,48,0,9,57,75,,,,,,,470.0
Albacutya,-35.73961222672423,141.96506061464504,354.91,0,0,0,0,0,,,,,,,
Albanvale,-37.74596635622631,144.76866355131665,18.64,23,0,0,23,23,,,,,,,397.0
Albert Park (Vic.),-37.84517819697623,144.96105252438312,3.51,8,0,21,29,71,450.0,643.0,825.0,760.0,1150.0,1400.0,405.0
Alberton (Vic.),-38.61894312441987,146.65648309854362,171.93,0,0,0,0,0,,,,,,,
Alberton West,-38.60368141487504,146.57704887487034,165.2,0,0,0,0,0,,,,,,,
Albion (Vic.),-37.77651630855766,144.81617474745428,13.53,19,7,0,26,54,,,,,,,424.0
Alexandra (Vic.),-37.19809788020664,145.73673675891428,96.68,1,0,0,1,1,,,,,,,
Alfredton,-37.55604120623892,143.80076055973177,106.2,35,0,0,35,35,,,,,,,
